Date,Start Time,End Time,Goals,Comments,
2024-08-03,,,,,
2024-08-04,10:00 PM,11:59 PM,the idiot--doestoevsky,,
2024-08-05,,,,,
2024-08-06,,,,,
2024-08-07,,,,,
2024-08-08,10:00 AM,11:00 AM,,,
2024-08-09,,,,,
2024-08-10,,,,,
2024-08-11,,,,,
2024-08-12,,,,,
2024-08-12,4:05 PM,4:47 PM,the idiot,pg 334 the idiot,
2024-08-13,4:07 PM,5:54 PM,pg 366,395,
2024-08-13,5:17 AM,6:37 AM,pg 334,pg 353,
2024-08-14,,,,,
2024-08-14,10:47 AM,12:00 PM,geb 337,pg 358 geb,
2024-08-15,5:01 PM,6:00 PM,pg 440 the idiot,,
2024-08-15,8:02 AM,11:08 AM,the idiot395,the idiot--pg441,
2024-08-16,,,,,
2024-08-17,,,,,
2024-08-18,8:00 AM,12:00 PM,,,
2024-08-19,8:00 AM,3:00 PM,pg 523,Finished!,
2024-08-20,,,,,
2024-08-21,,,,,
2024-08-22,,,,,
2024-08-23,3:56 AM,6:12 AM,"crime and punishment, pg 17",pg 69 crime and punishment,
2024-08-24,8:17 AM,10:27 AM,pg 69 crime and punishment,pg 120,
2024-08-25,10:36 AM,11:14 AM,pg 170,pg 190,
2024-08-25,7:54 AM,9:30 AM,pg 120,pg 170,
2024-08-26,,,,,
2024-08-27,10:22 AM,12:38 PM,190,240,
2024-08-28,,,,,
2024-08-28,8:13 AM,9:27 AM,240,pg 286 c+p,
2024-08-30,8:39 AM,9:21 AM,pg 286 c+p,p 297,
2024-08-31,3:46 PM,4:47 PM,pg 297,pg 312,
2024-08-31,10:00 PM,11:00 PM,pg 312,332,
2024-09-01,03:43 AM,04:52 AM,pg 333,pg 356,
2024-09-01,10:35 AM,11:29 AM,356,pg 388,
2024-09-01,02:41 PM,,pg 388,,
2024-09-02,07:54 AM,09:11 AM,432,pg 479,
2024-09-03,08:24 AM,09:12 AM,478,505,
2024-09-04,08:17 AM,09:29 AM,503,546,
2024-09-05,08:33 AM,09:35 AM,to finish Crime and Punishment by Fydor Doestoevsky,"crime and punishment, completed. 10/10.",
