Meal,Name,Food Item,Calories,Carbs (g),Protein (g),Fat (g),Date
dinner,,grass-fed ground beef,960,0,80,70,2024-07-24
dinner,,penne pasta,400,84,14,2,2024-07-25
lunch,,carne asada burrito,800,70,40,35,2024-07-25
snack,,cupcake,300,40,3,15,2024-07-25
breakfast,,sausage egg and cheese mcmuffin,450,30,21,25,2024-07-26
lunch,,"1/2 lb burger with pepper jack cheese, bbq sauce, onion rings",1200,63,6,25,2024-07-26
lunch,,large side of fries,500,0,80,70,2024-07-26
dinner,,85% lean grass-fed ground beef,960,13,1.6,0,2024-07-26
dinner,,miller beer (3) (16 oz),450,13,1.6,0,2024-07-26
dinner,,shot of tequila,97,0,0,0,2024-07-26
lunch,,carne asada burrito,800,70,40,35,2024-07-27
snack,,small strawberry gladiator smoothie with whey protein,220,30,25,2,2024-07-27
dinner,,two pizzas,600,60,25,28,2024-07-27
dinner,,modelo negro,198,13,1.5,0,2024-07-27
dinner,,burger patty,200,0,20,17,2024-07-27
dinner,,burger,354,30,20,19,2024-07-27
dinner,,hot dog,150,2,7,13,2024-07-27
dinner,,bacon wrapped jalapeños (3),90,5,2,6,2024-07-27
lunch,,12 buffalo traditional wings,1100,5,66,82,2024-07-28
lunch,,large side of fries,500,0,80,70,2024-07-28
breakfast,,sausage egg mcmuffin,450,30,21,25,2024-07-29
lunch,,barbacoa tacos (2),550,50,35,25,2024-07-29
snack,,brownie (2),550,80,8,25,2024-07-29
dinner,,pasta 106g,374,78.04,13.25,1.7,2024-07-29
dinner,,85% lean grass-fed ground beef,960,13,1.6,0,2024-07-29
breakfast,,sausage egg mcmuffin,450,30,21,25,2024-07-30
snack,,doritios nachos,150,18,2,8,2024-07-30
snack,,barbell bar-cookies and cream,200,20,20,7,2024-07-30
snack,,popcorn-large,650,55,5,50,2024-07-30
dinner,,tacos,360,36,18,20,2024-07-30
dinner,,hot dog,150,20,10,13,2024-07-30
dinner,,pasta,360,75,12,2,2024-07-30
dinner,,1lb ground beef grass fed,960,0,80,70,2024-07-30
lunch,,chicken fingers,500,35,35,35,2024-07-31
lunch,,pizza,730,70,36,32,2024-07-31
snack,,pepsi (can),150,41,0,0,2024-07-31
dinner,,doghaus-hangover,890,46,40,63,2024-07-31
dinner,,large side of fries,800,95,10,40,2024-07-31
lunch,,hotdog,150,20,10,13,2024-08-01
lunch,,mac and cheese,350,35,15,15,2024-08-01
snack,,2 donuts,540,62,8,30,2024-08-01
dinner,,20 chicken nuggets,900,40,60,60,2024-08-01
lunch,,10 traditional chicken wings,990,0,90,70,2024-08-02
lunch,,big mac,550,45,25,30,2024-08-02
lunch,,large fries - mcdonalds,490,66,7,23,2024-08-02
snack,,pretzels,110,23,2,0,2024-08-02
dinner,,in and out-double double + raw onion,670,39,37,41,2024-08-02
dinner,,in and out fries,395,54,7,18,2024-08-02
lunch,,2 sandwich-60g ham + 60g turkey + sara lee white bread + mayo,330,31,26,12.5,2024-08-03
lunch,,2 sandwich-60g ham + 60g turkey + sara lee white bread + mayo,330,31,26,12.5,2024-08-03
dinner,,pasta,360,75,12,2,2024-08-03
dinner,,1lb 85% ground beef grass fed,960,0,80,70,2024-08-03
lunch,,2 sandwich-60g ham + 60g turkey + sara lee white bread + mayo,330,31,26,12.5,2024-08-04
lunch,,2 sandwich-60g ham + 60g turkey + sara lee white bread + mayo,330,31,26,12.5,2024-08-04
dinner,,pasta,360,75,12,2,2024-08-04
dinner,,1lb 85% ground beef grass fed,960,0,80,70,2024-08-04
lunch,pv_summer_lunch_2024,sandwich,560,31,41,31,2024-08-05
lunch,pv_summer_lunch_2024,sandwich,560,31,41,31,2024-08-05
dinner,pasta_112g,penne pasta,400,84,14,2,2024-08-05
dinner,ground_beef_85,grass-fed ground beef 85%,960,0,80,70,2024-08-05
lunch,pv_summer_lunch_2024,sandwich,560,31,41,31,2024-08-06
breakfast,costco_croissant,croissant from costco,300,31,7,17,2024-08-06
breakfast,costco_croissant,croissant from costco,300,31,7,17,2024-08-06
breakfast,costco_croissant,croissant from costco,300,31,7,17,2024-08-06
dinner,hotdog,hotdog from dodger stadium,250,20,10,15,2024-08-06
dinner,in_and_out_jerich,in and out double double with fries,1040,93,44,56,2024-08-06
snack,costco_croissant,croissant from costco,300,31,7,17,2024-08-06
breakfast,costco_croissant,croissant from costco,300,31,7,17,2024-08-07
dinner,in_and_out_jerich,in and out double double with fries,1040,93,44,56,2024-08-07
snack,pretzel,pretzel from six flags,389,79,10,5,2024-08-07
snack,dole_whip,dole whip from six flags,90,22,1,0,2024-08-07
dinner,in_and_out_triple_jerich,triple triple with fries,1230,93,59,69,2024-08-07
snack,oatmeal_cookie,oatmeal_cookie,120,18,2,5,2024-08-08
breakfast,costco_croissant,croissant from costco,300,31,7,17,2024-08-08
lunch,bcd_jerich,bcd soondooboo seafood + galbi combo + 1 cup rice,1090,67,49,50.5,2024-08-08
lunch,pv_summer_lunch_2024,sandwich,560,31,41,31,2024-08-09
lunch,pv_summer_lunch_2024,sandwich,560,31,41,31,2024-08-09
dinner,pv_summer_dinner_2024,pasta 112g + 1lb grassfed ground beef,1360,84,94,72,2024-08-09
breakfast,costco_croissant,croissant from costco,300,31,7,17,2024-08-09
lunch,pv_summer_lunch_2024,sandwich,560,31,41,31,2024-08-10
lunch,pv_summer_lunch_2024,sandwich,560,31,41,31,2024-08-10
dinner,pasta_112g,penne pasta,400,84,14,2,2024-08-10
dinner,three_chicken_thighs,^,585,0,82.7,24,2024-08-10
breakfast,costco_croissant,croissant from costco,300,31,7,17,2024-08-11
breakfast,costco_croissant,croissant from costco,300,31,7,17,2024-08-11
lunch,pv_summer_lunch_2024,sandwich,560,31,41,31,2024-08-11
lunch,pv_summer_lunch_2024,sandwich,560,31,41,31,2024-08-11
dinner,pv_summer_lunch_2024,sandwich,560,31,41,31,2024-08-11
dinner,two_chicken_thighs,^,390,0,55.13,16,2024-08-11
snack,cookies_and_cream_bj,^,280,34,4,14,2024-08-11
lunch,pv_summer_lunch_2024,sandwich,560,31,41,31,2024-08-12
snack,pizza_crackers,pizza crackers from trader joes,110,16,2,3.5,2024-08-12
breakfast,costco_croissant,croissant from costco,300,31,7,17,2024-08-12
breakfast,costco_croissant,croissant from costco,300,31,7,17,2024-08-12
dinner,pv_summer_dinner_2024,pasta 112g + 1lb grassfed ground beef,1360,84,94,72,2024-08-12
snack,cookies_and_cream_bj,^,280,34,4,14,2024-08-12
breakfast,costco_croissant,croissant from costco,300,31,7,17,2024-08-13
lunch,pv_summer_lunch_2024,sandwich,560,31,41,31,2024-08-13
dinner,pv_summer_dinner_2024,pasta 112g + 1lb grassfed ground beef,1360,84,94,72,2024-08-13
breakfast,costco_croissant,croissant from costco,300,31,7,17,2024-08-14
breakfast,costco_croissant,croissant from costco,300,31,7,17,2024-08-14
lunch,pv_summer_lunch_2024,sandwich,560,31,41,31,2024-08-14
lunch,pv_summer_lunch_2024,sandwich,560,31,41,31,2024-08-14
dinner,pv_summer_dinner_2024,pasta 112g + 1lb grassfed ground beef,1360,84,94,72,2024-08-14
lunch,tonkatsu,Tonkatsu Curry with Rice from Coco Ichibanya,1200,130,30,60,2024-08-15
snack,cookie,cookie,170,22,2,8,2024-08-15
dinner,pv_summer_dinner_2024,pasta 112g + 1lb grassfed ground beef,1360,84,94,72,2024-08-15
dinner,cj_instant_rice,^,310,71,6,1,2024-08-16
dinner,ground_beef,1lb grassfed groundbeef,960,0,84,68,2024-08-16
lunch,pv_summer_lunch_2024,sandwich,560,31,41,31,2024-08-16
lunch,,carne asada burrito,800,70,40,35,2024-08-16
dinner,carne_asada_taco,from taco super galito,230,16,18,12,2024-08-16
dinner,carne_asada_taco,from taco super galito,230,16,18,12,2024-08-16
snack,pho_package,from costco?,250,50,4,3.5,2024-08-16
lunch,pv_summer_lunch_2024,sandwich,560,31,41,31,2024-08-17
dinner,yeon_su_san,birthday dinner! 1 michelin star,1200,100,60,40,2024-08-17
snack,touslesjours_cake,strawberry cloud cake,270,25,3,18,2024-08-17
breakfast,mcmuffin,"sausage, egg, cheese, mcmuffin",450,30,21,25,2024-08-18
lunch,shake_shack,shake shack double burger with fries,1330,103,58,77,2024-08-18
dinner,in_and_out_jerich,in and out double double with fries,1040,93,44,56,2024-08-18
breakfast,costco_croissant,croissant from costco,300,31,7,17,2024-08-19
lunch,chickfila_jerich,spicy chicken deluxe with waffle fries and two polynesian sauces,1190,123,32,63,2024-08-19
snack,swedish_candy,swedish candy from sockerbit,200,46,0,0,2024-08-19
breakfast,two_donuts,"two donuts from dunkin, strawberry",540,62,8,30,2024-08-20
lunch,chickfila_jerich,spicy chicken deluxe with waffle fries and two polynesian sauces,1190,123,32,63,2024-08-20
snack,pizza_combos,^,780,114,12,30,2024-08-20
snack,haribo_coke,5 oz bag,500,117,7,0,2024-08-20
dinner,chipotle_jerich,bowl+full chicken+full steak+white rice+veggies+pico+corn+sourcream+guac+lettuce+cheese,1250,100,79,59,2024-08-20
snack,jack_daniels,shared half a bottle with will,800,0,0,0,2024-08-20
lunch,pv_summer_lunch_2024,sandwich,560,31,41,31,2024-08-21
lunch,pv_summer_lunch_2024,sandwich,560,31,41,31,2024-08-21
dinner,pv_summer_dinner_2024,pasta 112g + 1lb grassfed ground beef,1360,84,94,72,2024-08-21
lunch,pv_summer_lunch_2024,sandwich,560,31,41,31,2024-08-22
lunch,pv_summer_lunch_2024,sandwich,560,31,41,31,2024-08-22
dinner,pv_summer_dinner_2024,pasta 112g + 1lb grassfed ground beef,1360,84,94,72,2024-08-22
lunch,pv_summer_lunch_2024,sandwich,560,31,41,31,2024-08-23
lunch,pv_summer_lunch_2024,sandwich,560,31,41,31,2024-08-23
dinner,pv_summer_dinner_2024,pasta 112g + 1lb grassfed ground beef,1360,84,94,72,2024-08-23
lunch,jimmy_johns_jerich,#7 spicy east coast italian,970,54,54,59,2024-08-24
lunch,bbq_chips_jj,^,290,32,3,16,2024-08-24
snack,kung_foo_jerich,taro milk tea,559,134,1,3,2024-08-24
dinner,atomic_wings_jerich,8 traditional wings + fries,1215,69,88,61,2024-08-24
snack,ben_jerries_jerich,ben and jerries ice cream,370,38,4,22,2024-08-24
lunch,panda_jerich,just what i get from panda (with,1765,188,90,76,2024-08-25
dinner,pho_station_jerich,pho with beef,500,60,35,15,2024-08-25
snack,ben_jerries_jerich,ben and jerries ice cream,370,38,4,22,2024-08-25
snack,ben_jerries_jerich,ben and jerries ice cream,370,38,4,22,2024-08-25
lunch,jimmy_johns_jerich,#7 spicy east coast italian,970,54,54,59,2024-08-26
dinner,pv_summer_dinner_2024,pasta 112g + 1lb grassfed ground beef,1360,84,94,72,2024-08-26
lunch,pv_summer_lunch_2024,sandwich,560,31,41,31,2024-08-27
lunch,pv_summer_lunch_2024,sandwich,560,31,41,31,2024-08-27
dinner,pv_summer_dinner_2024,pasta 112g + 1lb grassfed ground beef,1360,84,94,72,2024-08-27
lunch,pv_summer_lunch_2024,sandwich,560,31,41,31,2024-08-28
lunch,pv_summer_lunch_2024,sandwich,560,31,41,31,2024-08-28
dinner,pv_summer_dinner_2024,pasta 112g + 1lb grassfed ground beef,1360,84,94,72,2024-08-28
