score,date
30.519685491276416,2024-08-02
45.2474392159523,2024-08-03
62.608550327063405,2024-08-04
47.916666666666686,2024-08-05
28.98119601555328,2024-08-06
41.880967881944464,2024-08-07
36.262293714466985,2024-08-08
64.96913580246914,2024-08-09
61.7498613840712,2024-08-10
60.64332561728396,2024-08-11
55.56880506054869,2024-08-12
71.5797965434482,2024-08-13
67.31770833333334,2024-08-14
63.56796141656464,2024-08-15
30.555555555555568,2024-08-16
25.120560180634264,2024-08-17
46.34230712666438,2024-08-18
32.81613267180741,2024-08-19
29.746237230257133,2024-08-20
46.68209876543211,2024-08-21
47.916666666666686,2024-08-22
64.58333333333334,2024-08-23
47.5377891127181,2024-08-24
46.880358090851715,2024-08-25
60.93316565139465,2024-08-26
79.37885802469135,2024-08-27
78.77604166666667,2024-08-28
72.35725308641976,2024-08-29
57.865547839506185,2024-08-30
64.64427009600425,2024-08-31
89.0,2024-09-01
82.89448302469135,2024-09-02
70.81404320987654,2024-09-03
